review_id,location_id,reviewer_name,rating,review_text,created_at
REV-00073,LOC-001,Samuel S.,5,Great follow-up care and support. Everything went smoothly and painlessly.,2026-06-11
REV-00074,LOC-001,Kenneth G.,5,The receptionist was so helpful.,2026-02-02
REV-00075,LOC-001,Jacob V.,4,They go above and beyond for patients. Best preventative dental team around.,2026-04-09
REV-00076,LOC-001,Angela V.,5,"Highly professional and trustworthy. Professional, friendly, and efficient. Very attentive to my dental health.",2025-12-19
REV-00077,LOC-001,Marcus J.,5,Very competent and thorough work.,2026-07-22
REV-00078,LOC-001,Jessica H.,4,Great experience from start to finish.,2025-12-25
REV-00079,LOC-001,Rebecca U.,5,Outstanding service and expertise.,2026-05-02
REV-00080,LOC-001,Donna E.,5,The best option for family dentistry. I've recommended them to everyone. Never felt rushed during my appointment.,2026-06-22
REV-00081,LOC-001,Steven F.,4,Very clean and well-organized office.,2026-08-02
REV-00082,LOC-001,Donna D.,5,Outstanding results and great communication.,2026-08-23
REV-00083,LOC-001,Benjamin K.,5,Best decision switching to this practice. Outstanding results and great communication.,2026-04-22
REV-00084,LOC-001,Laura F.,5,Very caring and competent team. Very clean and well-organized office. Dentist really cares about your teeth.,2026-04-15
REV-00085,LOC-001,Stephen P.,5,Outstanding patient care experience.,2026-05-02
REV-00086,LOC-001,Paul I.,5,Best dental experience I've had. Very attentive to my dental health.,2026-07-18
REV-00087,LOC-001,Debra M.,5,"Professional, friendly, and efficient. Super friendly reception and fast service. The appointment was right on time.",2026-02-19
REV-00088,LOC-001,Rebecca N.,5,Dr. explained everything clearly and answered all questions.,2026-08-22
REV-00089,LOC-001,Rebecca M.,5,I felt well taken care of during my visit. Very thorough cleaning and exam.,2026-02-17
REV-00090,LOC-001,Anna M.,2,I'm looking for a better dentist.,2026-06-27
REV-00091,LOC-001,Rebecca R.,5,The receptionist was so helpful. The best option for family dentistry.,2026-05-03
REV-00092,LOC-001,Steven I.,4,Great facility with amazing staff.,2026-06-07
REV-00093,LOC-001,Jessica O.,5,Would give them more than 5 stars if possible. Never felt rushed during my appointment.,2026-04-12
REV-00094,LOC-001,Scott V.,1,The appointment took forever. I won't be returning. Very unsatisfactory visit.,2025-11-05
REV-00095,LOC-001,Linda B.,5,Super friendly reception and fast service. They go above and beyond for patients.,2025-09-14
REV-00096,LOC-001,Michelle K.,5,Outstanding service and expertise.,2026-01-12
REV-00097,LOC-001,Nicholas A.,5,"Dr. is very gentle and patient. Professional, friendly, and efficient.",2026-03-14
REV-00098,LOC-001,Sarah B.,5,I have no cavities thanks to their care. Dr. explained everything clearly and answered all questions.,2026-06-04
REV-00099,LOC-001,Michael T.,2,The service was inadequate.,2025-09-16
REV-00100,LOC-001,Cynthia W.,5,Would definitely return and refer friends. The team puts you at ease right away.,2025-11-18
REV-00101,LOC-001,Daniel J.,4,Would definitely return and refer friends.,2026-01-10
REV-00102,LOC-001,Elizabeth C.,5,Great follow-up care and support. Dr. is truly passionate about his work.,2025-10-26
REV-00103,LOC-001,Sophia Y.,4,Great attention to detail.,2026-07-01
REV-00104,LOC-001,Jessica L.,3,They document everything carefully.,2026-02-02
REV-00105,LOC-001,Gregory K.,5,Dr. explained everything clearly and answered all questions. Very caring and competent team.,2026-05-31
REV-00106,LOC-001,Ronald U.,3,Typical dental office experience. No complications during the visit.,2025-09-07
REV-00107,LOC-001,Sarah I.,4,Everything went smoothly and painlessly. They treat you with respect.,2026-04-24
REV-00108,LOC-001,Debra I.,4,They go above and beyond for patients. The staff really cares about your comfort.,2026-07-13
REV-00109,LOC-001,Laura H.,3,Everything was by the book.,2026-02-13
REV-00110,LOC-001,Amy K.,5,Great follow-up care and support. Would give them more than 5 stars if possible. Great experience from start to finish.,2026-04-26
REV-00111,LOC-001,Margaret T.,5,Top-notch professionalism. Would give them more than 5 stars if possible.,2025-12-03
REV-00112,LOC-001,Mark C.,3,They follow established protocols.,2026-08-26
REV-00113,LOC-001,Dylan P.,4,Outstanding results and great communication. Very competent and thorough work.,2026-01-02
REV-00114,LOC-001,Sandra H.,4,The dentist was thorough and really listened to my concerns. Love coming here for my cleanings.,2026-07-28
REV-00115,LOC-001,Justin Q.,4,I trust them completely with my teeth. Very thorough and always professional.,2026-03-27
REV-00116,LOC-001,Sophia O.,5,"Dentist really cares about your teeth. Clean, comfortable, and welcoming. They made my anxiety go away.",2026-02-24
REV-00117,LOC-001,Mark K.,5,Dr. is very knowledgeable and caring.,2026-01-17
REV-00118,LOC-001,Anna X.,4,Best dentist in the area!,2025-11-01
REV-00119,LOC-001,Mark J.,5,Best decision switching to this practice. Very attentive to my dental health. The hygienist was so gentle and thorough.,2026-05-06
REV-00120,LOC-001,Charles I.,5,Dr. and the team made me feel very comfortable. The hygienist was very skilled.,2025-12-26
REV-00121,LOC-001,Samantha Y.,1,Very disappointed overall. Disappointing from start to finish. The staff was unprofessional.,2025-09-24
REV-00122,LOC-001,Nicholas P.,5,Very attentive to my dental health.,2026-05-10
REV-00123,LOC-001,Kathleen D.,5,Dr. is very gentle and patient.,2026-04-14
REV-00124,LOC-001,Susan E.,5,Very clean facilities and modern equipment.,2025-10-04
REV-00125,LOC-001,Patricia R.,2,The appointment was overbooked.,2026-06-16
REV-00126,LOC-001,Laura O.,5,I have no cavities thanks to their care. They treat you with respect. Great follow-up care and support.,2026-04-02
REV-00127,LOC-001,Brenda B.,3,I got in and out on time. They document everything carefully.,2026-01-31
REV-00128,LOC-001,Donald U.,1,Not the standard I expected.,2026-07-10
REV-00129,LOC-001,Paul F.,5,Dr. did an amazing job with my crown.,2025-12-18
REV-00130,LOC-001,Laura W.,5,They explain everything before doing it.,2026-06-10
REV-00131,LOC-001,Kenneth W.,5,Excellent communication throughout.,2026-07-02
REV-00132,LOC-001,Carol Z.,4,Best dental experience I've had. Excellent communication throughout.,2026-01-23
REV-00133,LOC-001,Thomas R.,5,Very clean and well-organized office.,2026-07-18
REV-00134,LOC-001,Emily F.,4,Very impressed with the quality of care. Best dental experience I've had.,2025-12-25
REV-00135,LOC-001,Cynthia W.,5,Very attentive to my dental health. Best preventative dental team around. Dr. is very knowledgeable and caring.,2026-02-05
REV-00136,LOC-001,Amy O.,4,Very caring and competent team. Very comfortable and relaxing environment.,2026-02-03
REV-00137,LOC-001,Jennifer C.,5,The dentist really knows their stuff. Dr. is very gentle and patient.,2025-10-12
REV-00138,LOC-001,Marcus I.,1,Very unsatisfactory visit. The appointment took forever. Not the standard I expected.,2025-12-27
REV-00139,LOC-001,Stephen U.,5,Very thorough and always professional.,2026-06-23
REV-00140,LOC-001,Sharon U.,2,Very unsatisfactory visit.,2026-04-15
REV-00141,LOC-001,George K.,1,The exam felt rushed. The experience was disappointing.,2026-05-10
REV-00142,LOC-001,Jeffrey W.,5,"Clean, comfortable, and welcoming.",2026-08-10
REV-00143,LOC-001,Gary C.,5,Dentist really cares about your teeth. Highly recommend this practice!,2026-05-12
REV-00144,LOC-001,Angela A.,5,Never felt rushed during my appointment.,2026-02-09
REV-00145,LOC-001,Mark Q.,3,The hygienist did a standard cleaning. Nothing to complain about.,2026-08-03
REV-00146,LOC-001,Donald I.,4,Best preventative dental team around. Very clean facilities and modern equipment.,2026-03-05
REV-00147,LOC-001,Patricia A.,5,Best preventative dental team around. Great facility with amazing staff.,2026-06-09
REV-00148,LOC-001,Ashley R.,5,Dr. did an amazing job with my crown.,2026-07-20
REV-00149,LOC-001,Thomas O.,5,I have no cavities thanks to their care.,2025-09-08
REV-00150,LOC-001,Sandra Q.,4,I've recommended them to everyone.,2025-10-31
REV-00151,LOC-001,Gary R.,5,Very thorough and always professional. Loved the friendly atmosphere.,2026-08-28
REV-00152,LOC-001,Margaret Y.,5,Exceptional dental care every single time. Super friendly reception and fast service. Dr. explained everything clearly and answered all questions.,2025-11-14
REV-00153,LOC-001,Kevin S.,5,They treated me like family. Excellent dental care and very professional staff. Very attentive to my dental health.,2026-04-01
REV-00154,LOC-001,Larry P.,1,Very frustrating experience. Felt overcharged for the work.,2026-06-24
REV-00155,LOC-001,Mark W.,5,Great follow-up care and support. Outstanding service and expertise. The dentist really knows their stuff.,2026-02-24
REV-00156,LOC-001,Jessica K.,5,They explain everything before doing it.,2026-01-01
REV-00157,LOC-001,Amy B.,4,The best option for family dentistry. The appointment was right on time.,2026-05-01
REV-00158,LOC-001,Joseph Q.,5,"Clean, comfortable, and welcoming. The hygienist was so gentle and thorough. Best preventative dental team around.",2025-11-04
REV-00159,LOC-001,Sarah E.,5,They explain everything before doing it.,2026-04-22
REV-00160,LOC-001,Sarah C.,5,Would give them more than 5 stars if possible. Dr. is truly passionate about his work.,2025-10-09
REV-00161,LOC-001,Angela B.,3,They were matter-of-fact about findings. No problems with the work done.,2026-02-16
REV-00162,LOC-001,Sharon D.,5,Very attentive to my dental health. Excellent communication throughout. Love coming here for my cleanings.,2026-07-14
REV-00163,LOC-001,Jessica W.,4,Best preventative dental team around.,2026-07-22
REV-00164,LOC-001,Emily J.,2,They seemed more concerned with money than care.,2026-02-01
REV-00165,LOC-001,Shirley N.,5,Loved the friendly atmosphere.,2026-03-03
REV-00166,LOC-001,Matthew C.,4,Highly professional and trustworthy.,2026-06-17
REV-00167,LOC-001,Brandon E.,3,No problems with the work done.,2026-07-10
REV-00168,LOC-001,Makayla A.,5,Outstanding service and expertise. Dr. is very gentle and patient.,2025-12-28
REV-00169,LOC-001,Jacob L.,2,They seem to have money on their mind only.,2026-04-27
REV-00170,LOC-001,Kevin G.,5,Dr. is very gentle and patient. Outstanding service and expertise.,2026-06-28
REV-00171,LOC-001,Timothy S.,3,The dentist was straightforward.,2026-03-16
REV-00172,LOC-001,Margaret A.,5,Great experience and fair pricing. The dentist was thorough and really listened to my concerns. Dr. is truly passionate about his work.,2026-03-03
REV-00173,LOC-001,Amy J.,3,Straightforward and professional interaction.,2026-06-17
REV-00174,LOC-001,Brenda I.,5,I have no cavities thanks to their care. Best dentist in the area!,2025-12-27
REV-00175,LOC-001,Frank U.,4,The hygienist was so gentle and thorough.,2026-08-14
REV-00176,LOC-001,Charles C.,5,Highly recommend this practice! Very professional and caring dentists.,2025-09-21
REV-00177,LOC-001,Charles Z.,5,Everything went smoothly and painlessly. Great preventative care approach.,2026-01-30
REV-00178,LOC-001,Joshua F.,3,They follow established protocols. Just another routine appointment.,2026-06-04
REV-00179,LOC-001,Brenda Z.,2,Very poor experience. Very disappointed overall.,2026-01-10
REV-00180,LOC-001,Steven V.,5,Very impressed with the quality of care.,2025-10-29
REV-00181,LOC-001,Karen Z.,4,Outstanding results and great communication. Very professional and caring dentists.,2026-09-06
REV-00182,LOC-001,Marcus X.,5,Dr. is very knowledgeable and caring. Outstanding service and expertise. I trust them completely with my teeth.,2026-03-22
REV-00183,LOC-001,Marcus H.,5,I trust them completely with my teeth. Great attention to detail.,2026-08-11
REV-00184,LOC-001,Samantha O.,5,The dentist really knows their stuff. I have no cavities thanks to their care. Dr. explained everything clearly and answered all questions.,2026-04-30
REV-00185,LOC-001,Jessica B.,5,Would definitely return and refer friends. Super friendly reception and fast service.,2026-08-25
REV-00186,LOC-001,Paul R.,1,Poor customer service experience.,2026-02-03
REV-00187,LOC-001,Debra X.,5,Very comfortable and relaxing environment. Beautiful smiles are made here.,2025-11-09
REV-00188,LOC-001,Samuel N.,5,The hygienist was so gentle and thorough. Great facility with amazing staff.,2026-09-08
REV-00189,LOC-001,Jacob H.,5,The team puts you at ease right away. Best preventative dental team around.,2026-01-22
REV-00190,LOC-001,Emily M.,5,I trust them completely with my teeth. Very comfortable and relaxing environment. They made my anxiety go away.,2026-03-05
REV-00191,LOC-001,Karen V.,5,Outstanding service and expertise.,2026-01-20
REV-00192,LOC-001,George H.,4,Very clean facilities and modern equipment.,2025-12-18
REV-00193,LOC-001,Justin G.,4,Dr. explained everything clearly and answered all questions.,2025-11-04
REV-00194,LOC-001,Christopher Z.,5,"Clean, comfortable, and welcoming.",2026-06-28
REV-00195,LOC-001,Angela I.,5,Fantastic team and great results.,2026-07-03
REV-00196,LOC-001,Sarah L.,5,Fantastic team and great results.,2025-11-29
REV-00197,LOC-001,Carol B.,5,Everything went smoothly and painlessly.,2025-12-31
REV-00198,LOC-001,Nicholas O.,4,Dr. explained everything clearly and answered all questions.,2025-11-04
REV-00199,LOC-001,Jonathan H.,5,I feel confident in my dental health now.,2026-03-05
REV-00200,LOC-001,Gregory A.,5,They treat you with respect. The receptionist was so helpful. Outstanding service and expertise.,2026-07-12
REV-00201,LOC-001,Nancy P.,1,They didn't explain my treatment plan. I'll seek care elsewhere.,2025-10-02
REV-00202,LOC-001,Michelle T.,2,The dentist rushed through my exam.,2026-08-31
REV-00203,LOC-001,Timothy T.,5,Dentist really cares about your teeth. The dentist really knows their stuff.,2025-11-15
REV-00204,LOC-001,Sarah U.,5,The staff really cares about your comfort. The hygienist was so gentle and thorough. Would definitely return and refer friends.,2026-05-30
REV-00205,LOC-001,Laura H.,4,The staff really cares about your comfort.,2026-06-10
REV-00206,LOC-001,Joseph K.,5,Never felt rushed during my appointment. Beautiful smiles are made here.,2026-03-31
REV-00207,LOC-001,Gail P.,5,I trust them completely with my teeth. The appointment was right on time.,2026-04-07
REV-00208,LOC-001,Sharon D.,5,Love coming here for my cleanings.,2025-10-05
REV-00209,LOC-001,Emma K.,4,Outstanding results and great communication.,2026-03-10
REV-00210,LOC-001,Kenneth T.,5,Very clean and well-organized office. Very clean facilities and modern equipment.,2026-08-10
REV-00211,LOC-001,Alexander P.,5,Very caring and competent team. The team puts you at ease right away. The appointment was right on time.,2026-02-07
REV-00212,LOC-001,Thomas Y.,3,"Standard six-month checkup. No surprises, just routine work.",2025-12-24
REV-00213,LOC-001,Katie V.,5,Outstanding results and great communication. Great experience from start to finish.,2026-01-21
REV-00214,LOC-001,Sophia Y.,5,They treated me like family.,2026-08-22
REV-00215,LOC-001,Christopher S.,2,Very disappointed with the service. The cleaning was incomplete.,2026-02-06
REV-00216,LOC-002,Anna M.,5,Great experience from start to finish. Phone lines are always busy or ring out.,2026-08-03
REV-00217,LOC-002,Michelle Y.,5,I trust them completely with my teeth.,2026-04-03
REV-00218,LOC-002,Robert V.,5,The appointment was right on time. Phone lines are always busy or ring out.,2026-06-18
REV-00219,LOC-002,Anna Y.,5,Very clean and well-organized office. Great facility with amazing staff. Best preventative dental team around.,2025-10-12
REV-00220,LOC-002,Debra P.,5,Would definitely return and refer friends. Very attentive to my dental health.,2026-05-21
REV-00221,LOC-002,Benjamin B.,4,I have no cavities thanks to their care.,2026-05-28
REV-00222,LOC-002,Sandra K.,5,Super friendly reception and fast service.,2025-09-04
REV-00223,LOC-002,Debra Q.,5,The staff really cares about your comfort. Everything went smoothly and painlessly. Fantastic team and great results.,2025-11-01
REV-00224,LOC-002,Jessica N.,3,A standard dental visit. Professional environment throughout.,2026-06-14
REV-00225,LOC-002,Anna M.,5,Very modern technology and techniques.,2025-09-10
REV-00226,LOC-002,Jessica Z.,4,Would definitely return and refer friends. Never felt rushed during my appointment. Left two voicemails but never got a callback.,2026-08-30
REV-00227,LOC-002,Donna N.,5,Very professional and caring dentists. Love coming here for my cleanings. The staff really cares about your comfort.,2026-07-14
REV-00228,LOC-002,Brenda H.,5,Dr. is truly passionate about his work.,2026-06-29
REV-00229,LOC-002,Shirley Q.,4,Exceptional dental care every single time.,2026-02-18
REV-00230,LOC-002,Gregory E.,2,The exam felt rushed. Staff seemed annoyed with me.,2025-12-09
REV-00231,LOC-002,Sarah C.,5,Great preventative care approach. Everything went smoothly and painlessly.,2025-12-30
REV-00232,LOC-002,Brandon O.,1,I felt like just a number. The office was messy. Not the standard I expected.,2025-11-30
REV-00233,LOC-002,Nicholas O.,2,The dentist was dismissive. They seemed more concerned with money than care. Called three times but no one picked up.,2026-08-15
REV-00234,LOC-002,Ashley O.,5,I felt well taken care of during my visit. They made my anxiety go away.,2026-07-21
REV-00235,LOC-002,Karen T.,5,Very attentive to my dental health. Best dental experience I've had.,2026-04-20
REV-00236,LOC-002,Anna U.,5,Dentist really cares about your teeth. The staff is so friendly and welcoming.,2026-07-02
REV-00237,LOC-002,Laura D.,5,Very caring and competent team. The appointment was right on time.,2025-12-06
REV-00238,LOC-002,Jessica H.,1,Not worth the money.,2026-02-23
REV-00239,LOC-002,Ronald L.,5,Best decision switching to this practice. They treat you with respect.,2026-08-29
REV-00240,LOC-002,Emma V.,5,"Very clean facilities and modern equipment. Clean, comfortable, and welcoming. Called three times but no one picked up.",2026-01-23
REV-00241,LOC-002,Christopher L.,5,"The appointment was right on time. Clean, comfortable, and welcoming. Professional, friendly, and efficient.",2026-03-17
REV-00242,LOC-002,Richard J.,1,Terrible communication. I won't be returning. The staff was unprofessional.,2026-02-06
REV-00243,LOC-002,Ryan Q.,5,Fantastic team and great results. Best decision switching to this practice. Tried calling multiple times with no luck.,2026-06-14
REV-00244,LOC-002,Eric G.,5,They really care about patient comfort. The team puts you at ease right away.,2026-03-05
REV-00245,LOC-002,Joseph Q.,1,They seem to have money on their mind only.,2025-12-25
REV-00246,LOC-002,Brenda E.,3,Typical pricing for the area.,2026-06-04
REV-00247,LOC-002,Brenda Z.,5,They really care about patient comfort.,2026-07-03
REV-00248,LOC-002,Paul O.,4,They explain everything before doing it.,2025-11-24
REV-00249,LOC-002,Nicholas G.,5,I feel confident in my dental health now. Excellent communication throughout. The hygienist was very skilled.,2026-07-10
REV-00250,LOC-002,Jonathan Q.,4,They go above and beyond for patients. Very attentive to my dental health.,2026-03-08
REV-00251,LOC-002,Andrew B.,1,Very poor experience.,2026-04-03
REV-00252,LOC-002,Stephen D.,5,Dentist really cares about your teeth. Great attention to detail.,2026-07-26
REV-00253,LOC-002,Angela E.,5,They treated me like family.,2026-01-24
REV-00254,LOC-002,Jennifer N.,5,I feel confident in my dental health now.,2026-04-12
REV-00255,LOC-002,Melissa H.,5,Very competent and thorough work. The best option for family dentistry.,2025-09-28
REV-00256,LOC-002,Barbara B.,5,"Clean, comfortable, and welcoming.",2025-09-15
REV-00257,LOC-002,Nicholas O.,2,Disappointing from start to finish. The service was inadequate. Tried calling multiple times with no luck.,2026-01-25
REV-00258,LOC-002,Susan R.,5,The dentist was thorough and really listened to my concerns.,2026-07-13
REV-00259,LOC-002,Patricia B.,5,Would definitely return and refer friends. Very attentive to my dental health.,2026-09-08
REV-00260,LOC-002,Amy T.,5,Outstanding service and expertise. Dr. explained everything clearly and answered all questions. Would definitely return and refer friends.,2026-01-01
REV-00261,LOC-002,Samuel L.,5,Very competent and thorough work. Very impressed with the quality of care. Great experience and fair pricing.,2026-06-02
REV-00262,LOC-002,Ronald C.,5,"Professional, friendly, and efficient.",2026-01-02
REV-00263,LOC-002,Jessica U.,5,Dentist really cares about your teeth. The dentist was thorough and really listened to my concerns. The best option for family dentistry.,2026-05-28
REV-00264,LOC-002,William L.,1,I regret choosing this practice. The appointment took forever.,2026-03-18
REV-00265,LOC-002,Angela K.,4,"Clean, comfortable, and welcoming. Left two voicemails but never got a callback.",2026-01-02
REV-00266,LOC-002,William W.,5,They go above and beyond for patients. The dentist is truly the best. They really care about patient comfort.,2026-07-27
REV-00267,LOC-002,Jessica K.,5,The staff is so friendly and welcoming.,2026-04-23
REV-00268,LOC-002,Mark J.,5,Very thorough and always professional. Dr. is very gentle and patient. Highly recommend this practice!,2026-02-06
REV-00269,LOC-002,Melissa N.,3,Typical pricing for the area.,2026-03-02
REV-00270,LOC-002,Amy L.,4,Would give them more than 5 stars if possible. They really care about patient comfort.,2026-03-24
REV-00271,LOC-002,Linda R.,5,Very clean and well-organized office. Phone lines are always busy or ring out.,2026-05-24
REV-00272,LOC-002,Ashley O.,5,The dentist really knows their stuff.,2026-01-29
REV-00273,LOC-002,Jessica X.,4,Best preventative dental team around.,2026-07-06
REV-00274,LOC-002,Stephanie L.,5,Outstanding patient care experience. I felt well taken care of during my visit. Tried calling multiple times with no luck.,2026-02-28
REV-00275,LOC-002,Marcus Z.,4,Great experience from start to finish. Phone lines are always busy or ring out.,2026-05-21
REV-00276,LOC-002,Ronald L.,5,Very competent and thorough work.,2026-04-13
REV-00277,LOC-002,Melissa L.,2,The staff didn't seem to care. Couldn't reach them to book an appointment.,2026-03-16
REV-00278,LOC-002,Brian U.,4,Best decision switching to this practice.,2026-04-16
REV-00279,LOC-002,Amy Q.,5,Great experience from start to finish.,2026-01-21
REV-00280,LOC-002,Laura G.,2,Quality didn't match the price.,2026-03-18
REV-00281,LOC-002,Laura F.,5,Great preventative care approach. Dr. is very knowledgeable and caring. Called three times but no one picked up.,2026-07-11
